ind17,ind17_l,ind17_h
1,100,199
1,200,299
1,700,799
1,900,999
1,2000,2009
1,2010,2019
1,2020,2029
1,2030,2039
1,2040,2046
1,2047,2047
1,2048,2048
1,2050,2059
1,2060,2063
1,2064,2068
1,2070,2079
1,2080,2080
1,2082,2082
1,2083,2083
1,2084,2084
1,2085,2085
1,2086,2086
1,2087,2087
1,2090,2092
1,2095,2095
1,2096,2096
1,2097,2097
1,2098,2099
1,5140,5149
1,5150,5159
1,5180,5182
1,5191,5191
2,1000,1009
2,1010,1019
2,1020,1029
2,1030,1039
2,1040,1049
2,1060,1069
2,1080,1089
2,1090,1099
2,1200,1299
2,1400,1499
2,5050,5052
3,1300,1300
3,1310,1319
3,1320,1329
3,1380,1380
3,1381,1381
3,1382,1382
3,1389,1389
3,2900,2912
3,5170,5172
4,2200,2269
4,2270,2279
4,2280,2284
4,2290,2295
4,2296,2296
4,2297,2297
4,2298,2298
4,2299,2299
4,2300,2390
4,2391,2392
4,2393,2395
4,2396,2396
4,2397,2399
4,3020,3021
4,3100,3111
4,3130,3131
4,3140,3149
4,3150,3151
4,3963,3965
4,5130,5139
5,2510,2519
5,2590,2599
5,3060,3069
5,3070,3079
5,3080,3089
5,3090,3099
5,3630,3639
5,3650,3651
5,3652,3652
5,3860,3861
5,3870,3873
5,3910,3911
5,3914,3914
5,3915,3915
5,3930,3931
5,3940,3949
5,3960,3962
5,5020,5023
5,5064,5064
5,5094,5094
5,5099,5099
6,2800,2809
6,2810,2819
6,2820,2829
6,2860,2869
6,2870,2879
6,2890,2899
6,5160,5169
7,2100,2199
7,2830,2830
7,2831,2831
7,2833,2833
7,2834,2834
7,2840,2843
7,2844,2844
7,5120,5122
7,5194,5194
8,800,899
8,1500,1511
8,1520,1529
8,1530,1539
8,1540,1549
8,1600,1699
8,1700,1799
8,2400,2439
8,2440,2449
8,2450,2459
8,2490,2499
8,2850,2859
8,2950,2952
8,3200,3200
8,3210,3211
8,3240,3241
8,3250,3259
8,3261,3261
8,3264,3264
8,3270,3275
8,3280,3281
8,3290,3293
8,3420,3429
8,3430,3433
8,3440,3441
8,3442,3442
8,3446,3446
8,3448,3448
8,3449,3449
8,3450,3451
8,3452,3452
8,5030,5039
8,5070,5078
8,5198,5198
8,5210,5211
8,5230,5231
8,5250,5251
9,3300,3300
9,3310,3317
9,3320,3325
9,3330,3339
9,3340,3341
9,3350,3357
9,3360,3369
9,3390,3399
10,3410,3412
10,3443,3443
10,3444,3444
10,3460,3469
10,3470,3479
10,3480,3489
10,3490,3499
11,3510,3519
11,3520,3529
11,3530,3530
11,3531,3531
11,3532,3532
11,3533,3533
11,3534,3534
11,3535,3535
11,3536,3536
11,3540,3549
11,3550,3559
11,3560,3569
11,3570,3579
11,3580,3580
11,3581,3581
11,3582,3582
11,3585,3585
11,3586,3586
11,3589,3589
11,3590,3599
11,3600,3600
11,3610,3613
11,3620,3621
11,3622,3622
11,3623,3629
11,3670,3679
11,3680,3680
11,3681,3681
11,3682,3682
11,3683,3683
11,3684,3684
11,3685,3685
11,3686,3686
11,3687,3687
11,3688,3688
11,3689,3689
11,3690,3690
11,3691,3692
11,3693,3693
11,3694,3694
11,3695,3695
11,3699,3699
11,3810,3810
11,3811,3811
11,3812,3812
11,3820,3820
11,3821,3821
11,3822,3822
11,3823,3823
11,3824,3824
11,3825,3825
11,3826,3826
11,3827,3827
11,3829,3829
11,3830,3839
11,3950,3955
11,5060,5060
11,5063,5063
11,5065,5065
11,5080,5080
11,5081,5081
12,3710,3710
12,3711,3711
12,3714,3714
12,3716,3716
12,3750,3751
12,3792,3792
12,5010,5015
12,5510,5521
12,5530,5531
12,5560,5561
12,5570,5571
12,5590,5599
13,3713,3713
13,3715,3715
13,3720,3720
13,3721,3721
13,3724,3724
13,3725,3725
13,3728,3728
13,3730,3731
13,3732,3732
13,3740,3743
13,3760,3769
13,3790,3790
13,3795,3795
13,3799,3799
13,4000,4013
13,4100,4100
13,4110,4119
13,4120,4121
13,4130,4131
13,4140,4142
13,4150,4151
13,4170,4173
13,4190,4199
13,4200,4200
13,4210,4219
13,4220,4229
13,4230,4231
13,4400,4499
13,4500,4599
13,4600,4699
13,4700,4700
13,4710,4712
13,4720,4729
13,4730,4739
13,4740,4742
13,4780,4780
13,4783,4783
13,4785,4785
13,4789,4789
14,4900,4900
14,4910,4911
14,4920,4922
14,4923,4923
14,4924,4925
14,4930,4931
14,4932,4932
14,4939,4939
14,4940,4942
15,5260,5261
15,5270,5271
15,5300,5300
15,5310,5311
15,5320,5320
15,5330,5331
15,5334,5334
15,5390,5399
15,5400,5400
15,5410,5411
15,5412,5412
15,5420,5421
15,5430,5431
15,5440,5441
15,5450,5451
15,5460,5461
