sic,d_rd
2830,0.112
2831,0.112
2833,0.112
2834,0.112
2835,0.112
2836,0.112
3570,0.363
3571,0.363
3572,0.363
3573,0.363
3574,0.363
3575,0.363
3576,0.192
3577,0.363
3578,0.363
3579,0.363
3585,0.733
3661,0.192
3662,0.226
3663,0.192
3664,0.226
3665,0.226
3666,0.226
3669,0.192
3670,0.226
3671,0.226
3672,0.226
3673,0.226
3674,0.226
3675,0.226
3676,0.226
3677,0.226
3678,0.226
3679,0.192
3680,0.363
3681,0.363
3682,0.363
3683,0.363
3684,0.363
3685,0.363
3686,0.363
3687,0.363
3688,0.363
3689,0.363
3695,0.363
3711,0.733
3713,0.733
3714,0.733
3715,0.733
3716,0.733
3720,0.339
3721,0.339
3724,0.339
3728,0.339
3760,0.339
3812,0.329
3822,0.329
3823,0.329
3825,0.329
3826,0.329
3829,0.329
3842,0.329
3844,0.329
3845,0.329
7370,0.489
7371,0.489
7372,0.308
7373,0.489
8731,0.295
