"Date","hml_int_t100","hml_ime_t100","hml_int_t30","omk"
1975-01-31,9.9253,8.3774,9.0024,-6.6869
1975-02-28,-1.9147,-1.5359,-3.6757,2.3642
1975-03-31,1.7843,2.5652,4.1219,-1.4124
1975-04-30,0.0256,-1.0487,-0.8919,-0.8785
1975-05-31,-1.0729,0.4164,-3.2389,4.9418
1975-06-30,0.9866,0.597,1.6159,-1.0996
1975-07-31,1.1036,1.4782,1.4027,-1.68
1975-08-31,-0.6581,-0.7447,-1.4604,-1.3896
1975-09-30,0.3417,1.3062,-0.481,1.2918
1975-10-31,-1.6273,-1.2355,-0.0324,-2.2913
1975-11-30,0.9091,1.1835,2.4525,-0.7389
1975-12-31,0.4218,-0.3243,1.2752,-3.3073
1976-01-31,9.2911,8.1519,10.0751,-0.3642
1976-02-29,5.3118,7.1395,7.1794,-2.5213
1976-03-31,0.3921,0.0868,0.3154,1.8269
1976-04-30,-0.7355,-1.1428,-1.2209,-0.9116
1976-05-31,-1.1837,-1.3259,-1.6948,2.291
1976-06-30,2.0885,2.1396,2.3442,2.5437
1976-07-31,1.356,1.8587,1.5936,1.465
1976-08-31,-0.6629,-0.4608,-0.0814,-0.972
1976-09-30,-0.1243,0.1496,-0.7869,1.9178
1976-10-31,-0.7549,-0.4135,-1.6308,-2.8918
1976-11-30,1.2492,1.4163,1.7949,0.4166
1976-12-31,3.4043,3.3005,2.6113,0.8315
1977-01-31,5.4962,5.0534,4.0587,1.8978
1977-02-28,0.3717,0.2068,0.4865,-0.6284
1977-03-31,0.7478,0.4891,0.5972,1.8202
1977-04-30,2.3646,2.1821,3.3989,0.2071
1977-05-31,0.7398,0.7368,1.1887,-0.0893
1977-06-30,0.5602,0.4766,-0.2904,2.0385
1977-07-31,0.181,0.6275,-0.6543,3.0868
1977-08-31,-2.1042,-1.8694,-2.0073,-2.0762
1977-09-30,-0.8823,-1.2145,-1.1306,-1.5563
1977-10-31,1.4032,0.7905,0.6714,3.1124
1977-11-30,1.3312,1.6415,2.1012,0.413
1977-12-31,-0.0344,-0.5229,-0.8978,0.8163
1978-01-31,2.6737,2.5657,3.0126,0.294
1978-02-28,1.7424,2.3612,0.6968,-1.656
1978-03-31,2.3861,2.9761,2.5535,1.8838
1978-04-30,-1.0787,-0.7323,-0.3295,1.0601
1978-05-31,1.801,2.3882,2.2762,1.4865
1978-06-30,0.9207,0.2887,0.7134,-0.7917
1978-07-31,0.7171,1.0933,0.3038,0.1956
1978-08-31,0.3,0.3984,1.4049,0.834
1978-09-30,0.5421,0.2474,0.8434,0.4765
1978-10-31,-2.2499,-3.0814,-2.0727,-0.9655
1978-11-30,-0.8286,-0.4913,-1.3578,1.6668
1978-12-31,-1.5518,-1.9021,-2.2965,0.6648
1979-01-31,2.3702,3.0274,3.054,0.1487
1979-02-28,-0.7344,-0.8449,-0.6262,-1.7945
1979-03-31,0.1876,1.1729,0.6241,0.8262
1979-04-30,1.8552,1.6556,0.6467,3.2043
1979-05-31,-0.826,-0.9264,-0.1483,-1.0323
1979-06-30,-0.0087,-0.1305,-1.3735,1.4567
1979-07-31,0.55,1.1414,2.0002,-1.2052
1979-08-31,0.5289,1.2689,0.4041,0.6533
1979-09-30,-1.4331,-1.8844,-1.2303,0.8612
1979-10-31,-1.4061,-1.2486,-2.8403,0.3767
1979-11-30,-2.7456,-2.8327,-4.1197,0.7822
1979-12-31,-0.9784,-0.7611,-0.5728,-1.0098
1980-01-31,1.6934,0.3682,0.6977,1.8307
1980-02-29,-0.9662,-1.1497,-1.6044,3.2609
1980-03-31,-0.947,-0.7258,-0.0629,-3.5692
1980-04-30,-1.2188,-2.2413,-1.6295,-1.8579
1980-05-31,0.6978,0.2974,1.3622,0.0716
1980-06-30,-2.6297,-3.3309,-3.034,-0.4357
1980-07-31,-2.2918,-0.9781,-0.2275,0.7988
1980-08-31,-0.8378,-0.5492,-1.6628,-1.5913
1980-09-30,-2.3766,-2.0512,-4.5177,1.3899
1980-10-31,-1.6255,-1.5942,-3.2839,3.1697
1980-11-30,-5.5845,-4.212,-9.69,6.003
1980-12-31,1.1859,0.7473,4.0358,-3.4963
1981-01-31,4.3837,3.5716,7.4809,-4.8248
1981-02-28,0.8233,0.6127,1.9649,-3.2227
1981-03-31,-1.7301,-0.3876,2.5797,-3.6619
